"MONTH;DAYOF WEEK;DEP DEL15;DEPTIMEBLK;DISTANCEGROUP;SEGMENTNUMBER;CONCURRENTFLIGHTS;NUMBEROFSEATS;CARRIERNAME;AIRPORTFLIGHTSMONTH;AIRLINEFLIGHTSMONTH;AIRLINEAIRPORTFLIGHTSMONTH;AVGMONTHLYPASSAIRPORT;AVGMONTHLYPASSAIRLINE;FLTATTENDANTSPERPASS;GROUNDSERVPERPASS;PLANEAGE;DEPARTINGAIRPORT;LATITUDE;LONGITUDE;PREVIOUSAIRPORT;PRCP;SNOW;SNWD;TMAX;AWND"
"1;7;1;2300-2359;6;1;17;180;Frontier Airlines Inc.;13056;9496;581;1903352;1857122;0.00011572564827677376;7.134694872433899e-06;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;1;1;27;149;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1200-1259;1;1;26;119;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;12;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;146;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;7;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;4;1;27;181;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;0700-0759;4;1;29;181;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;4;1;25;181;Alaska Airlines Inc.;13056;20315;717;1903352;2884187;3.233146156611231e-05;0.00017460144972655646;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;11;1;10;294;Hawaiian Airlines Inc.;13056;6791;80;1903352;905990;0.00012049421761126928;0.00019784966571132842;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;11;1;28;294;Hawaiian Airlines Inc.;13056;6791;80;1903352;905990;0.00012049421761126928;0.00019784966571132842;5;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;1;1;29;181;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;5;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;8;1;27;187;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;18;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;2;1;25;173;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;3;1;25;142;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;22;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;7;1;28;154;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;1000-1059;3;1;29;142;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;19;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;7;1;27;173;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;1;1;29;154;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;21;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;154;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;20;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;9;1;27;173;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;5;1;10;154;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;3;1;27;173;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;2;1;29;180;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;110;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;19;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;4;1;29;110;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;19;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;6;1;28;180;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;1;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;1;1;27;160;Delta Air Lines Inc.;13056;73508;1174;1903352;12460183;0.0001441658849878598;0.0001486602009422039;18;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;2200-2259;9;1;9;162;JetBlue Airways;13056;23463;299;1903352;3190369;0.0001600389254787507;0.00012686617611396965;15;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;9;1;27;129;JetBlue Airways;13056;23463;299;1903352;3190369;0.0001600389254787507;0.00012686617611396965;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;2300-2359;9;1;17;129;JetBlue Airways;13056;23463;299;1903352;3190369;0.0001600389254787507;0.00012686617611396965;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;5;1;27;173;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;18;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;9;1;25;154;United Air Lines Inc.;13056;46218;1108;1903352;8501631;0.00025380424062159367;0.00022898547349326266;14;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;7;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;6;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;129;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;7;1;27;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;9;1;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;1;1;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;16;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;1;1;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;16;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;1;1;27;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;7;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;5;1;27;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;13;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;0700-0759;3;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;19;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;5;1;27;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;9;1;27;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;7;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;1;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;15;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;7;1;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;20;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;18;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;2;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;13;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1500-1559;2;1;26;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;17;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;15;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;2;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;6;1;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;1;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;2;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;14;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;2;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;16;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;2;1;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;12;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;13;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;2300-2359;9;1;17;178;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;6;1;10;178;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;9;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;9;1;25;176;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;20;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;7;1;27;160;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;7;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;6;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;8;1;25;187;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1200-1259;1;1;26;76;SkyWest Airlines Inc.;13056;62105;148;1903352;3472966;3.419267401443636e-05;9.900278805864171e-05;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;8;1;29;187;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;10;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;2;1;27;150;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;16;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;5;1;10;182;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;1;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;4;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;4;1;29;145;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;12;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;7;1;25;160;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;2;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;2300-2359;8;1;17;178;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;5;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;2300-2359;8;1;17;182;Spirit Air Lines;13056;15023;1257;1903352;2688839;9.173723925704242e-06;0.00012465107307156237;3;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;5;1;27;181;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;6;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;5;1;25;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;5;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;4;1;29;129;Allegiant Air;13056;6713;645;1903352;1257616;1.3252580061983643e-05;0.00010774347590392701;11;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0001-0559;8;1;10;187;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;4;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;5;1;28;187;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;10;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0600-0659;9;1;27;190;American Airlines Inc.;13056;75506;1174;1903352;11744595;9.82082928995461e-05;0.00017728721959309724;6;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;1;0001-0559;1;1;10;76;SkyWest Airlines Inc.;13056;62105;148;1903352;3472966;3.419267401443636e-05;9.900278805864171e-05;5;McCarran International;36.08;-115.152;NONE;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;1;2;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;18;McCarran International;36.08;-115.152;Phoenix Sky Harbor International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1200-1259;1;2;26;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;10;McCarran International;36.08;-115.152;San Francisco International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;2;2;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;19;McCarran International;36.08;-115.152;Salt Lake City International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;2;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;18;McCarran International;36.08;-115.152;Orange County;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;2;2;28;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;20;McCarran International;36.08;-115.152;Portland International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;2;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;17;McCarran International;36.08;-115.152;Spokane International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;4;2;28;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;13;McCarran International;36.08;-115.152;Metropolitan Oakland International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;2;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;14;McCarran International;36.08;-115.152;Seattle International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;7;2;28;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;4;McCarran International;36.08;-115.152;Port Columbus International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;7;2;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;5;McCarran International;36.08;-115.152;Cleveland-Hopkins International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;7;2;25;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;1;McCarran International;36.08;-115.152;Austin - Bergstrom International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0800-0859;5;2;25;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;13;McCarran International;36.08;-115.152;Los Angeles International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;5;2;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;2;McCarran International;36.08;-115.152;General Mitchell Field;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;1;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;16;McCarran International;36.08;-115.152;Sacramento International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;7;2;28;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;2;McCarran International;36.08;-115.152;Atlanta Municipal;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1100-1159;4;2;26;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;17;McCarran International;36.08;-115.152;San Francisco International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;5;2;28;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;12;McCarran International;36.08;-115.152;Reno/Tahoe International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;2000-2059;1;2;18;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;11;McCarran International;36.08;-115.152;Stapleton International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;4;2;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;2;McCarran International;36.08;-115.152;Detroit Metro Wayne County;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;2;2;28;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;15;McCarran International;36.08;-115.152;San Diego International Lindbergh Fl;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;4;2;29;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;5;McCarran International;36.08;-115.152;Friendship International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;7;2;28;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;3;McCarran International;36.08;-115.152;Chicago Midway International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;1000-1059;2;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;14;McCarran International;36.08;-115.152;Reno/Tahoe International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;2;2;28;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;12;McCarran International;36.08;-115.152;Ontario International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0700-0759;2;2;29;143;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;20;McCarran International;36.08;-115.152;Phoenix Sky Harbor International;0.0;0.0;0.0;65.0;2.91"
"1;7;0;0900-0959;9;2;28;175;Southwest Airlines Co.;13056;107363;5873;1903352;13382999;6.178236301460919e-05;9.889412309998219e-05;3;McCarran International;36.08;-115.152;Eppley Airfield;0.0;0.0;0.0;65.0;2.91"
